ADY,,0.004%,0.008%,0.013%,0.021%,0.032%,0.042%,0.053%,0.063%,0.074%,0.084%,0.126%,0.168%,0.210%,0.252%,0.294%,0.336%,0.420%,0.504%,0.588%,0.672%,0.756%,0.840%,0.924%,1.008%,1.092%,1.176%,1.260%
IDY,,0.003%,0.006%,0.010%,0.016%,0.024%,0.032%,0.040%,0.048%,0.056%,0.064%,0.096%,0.128%,0.160%,0.192%,0.224%,0.256%,0.320%,0.384%,0.448%,0.512%,0.576%,0.640%,0.704%,0.768%,0.832%,0.896%,0.960%
Temp_C,Temp_F,0.010%,0.020%,0.030%,0.050%,0.075%,0.100%,0.125%,0.150%,0.175%,0.200%,0.300%,0.400%,0.500%,0.600%,0.700%,0.800%,1.000%,1.200%,1.400%,1.600%,1.800%,2.000%,2.200%,2.400%,2.600%,2.800%,3.000%
1.7,35,,,,,,,,,,,167,136,115,101,90,82,70,61,54,49,45,42,39,37,35,33,31
2.2,36,,,,,,,,,,,149,121,103,90,80,73,62,54,49,44,40,37,35,33,31,29,28
2.8,37,,,,,,,,,,,133,108,92,80,72,65,55,49,43,39,36,33,31,29,28,26,25
3.3,38,,,,,,,,,,161,120,97,82,72,65,59,50,44,39,35,32,30,28,26,25,24,22
3.9,39,,,,,,,,,159,145,108,87,74,65,58,53,45,39,35,32,29,27,25,24,22,21,20
4.4,40,,,,,,,,161,144,130,97,79,67,59,52,48,40,35,32,29,26,24,23,21,20,19,18
5.0,41,,,,,,,166,145,130,118,88,71,61,53,47,43,37,32,29,26,24,22,21,19,18,17,16
5.6,42,,,,,,,151,132,118,107,80,65,55,48,43,39,33,29,26,24,22,20,19,18,17,15,15
6.1,43,,,,,,161,137,120,107,97,72,59,50,44,39,35,30,26,24,21,20,18,17,16,15,14,14
6.7,44,,,,,,147,125,109,98,88,66,53,45,40,36,32,27,24,21,19,18,17,15,14,14,13,12
7.2,45,,,,,165,134,114,100,89,81,60,49,41,36,32,29,25,22,20,18,16,15,14,13,12,12,11
7.8,46,,,,,151,122,104,91,81,74,55,45,38,33,30,27,23,20,18,16,15,14,13,12,11,11,10
8.3,47,,,,,138,112,95,83,74,67,50,41,35,30,27,25,21,18,16,15,14,13,12,11,10,10,9
8.9,48,,,,,126,102,87,76,68,62,46,37,32,28,25,23,19,17,15,14,12,12,11,10,10,9,8
9.4,49,,,,156,116,94,80,70,63,57,42,34,29,26,23,21,18,15,14,12,11,11,10,9,9,8,8
10.0,50,,,,143,107,86,74,64,58,52,39,32,27,23,21,19,16,14,13,11,11,10,9,9,8,8,7
10.6,51,,,,132,98,80,68,59,53,48,36,29,25,22,19,18,15,13,12,11,10,9,8,8,7,7,7
11.1,52,,,,122,90,73,62,55,49,44,33,27,23,20,18,16,14,12,11,10,9,8,8,7,7,6,6
11.7,53,,,163,112,84,68,58,50,45,41,30,25,21,18,16,15,13,11,10,9,8,8,7,7,6,6,6
12.2,54,,,150,104,77,63,53,47,42,38,28,23,19,17,15,14,12,10,9,8,8,7,7,6,6,6,5
12.8,55,,,139,96,71,58,49,43,39,35,26,21,18,16,14,13,11,9,8,8,7,7,6,6,5,5,5
13.3,56,,,129,89,66,54,46,40,36,32,24,20,17,15,13,12,10,9,8,7,7,6,6,5,5,5,4
13.9,57,,161,120,82,61,50,42,37,33,30,22,18,15,14,12,11,9,8,7,7,6,6,5,5,5,4,4
14.4,58,,149,111,77,57,46,39,34,31,28,21,17,14,13,11,10,9,8,7,6,6,5,5,5,4,4,4
15.0,59,,139,103,71,53,43,37,32,29,26,19,16,13,12,10,9,8,7,6,6,5,5,4,4,4,4,3
15.6,60,,129,96,66,49,40,34,30,27,24,18,15,12,11,10,9,7,7,6,5,5,4,4,4,4,3,3
16.1,61,,120,90,62,46,37,32,28,25,22,17,14,12,10,9,8,7,6,5,5,4,4,4,3,3,3,3
16.7,62,,112,83,58,43,35,30,26,23,21,16,13,11,9,8,8,6,6,5,5,4,4,4,3,3,3,3
17.2,63,,105,78,54,40,32,28,24,22,20,15,12,10,9,8,7,6,5,5,4,4,4,3,3,3,3,3
17.8,64,162,98,73,50,37,30,26,23,20,18,14,11,9,8,7,7,6,5,4,4,4,3,3,3,3,2,2
18.3,65,152,92,68,47,35,28,24,21,19,17,13,10,9,8,7,6,5,5,4,4,3,3,3,3,2,2,2
18.9,66,142,86,64,44,33,27,23,20,18,16,12,10,8,7,6,6,5,4,4,4,3,3,3,2,2,2,2
19.4,67,133,80,60,41,31,25,21,19,17,15,11,9,8,7,6,5,4,4,4,3,3,3,2,2,2,2,2
20.0,68,120,73,54,37,28,22,19,17,15,14,10,8,7,6,5,5,4,4,3,3,3,2,2,2,2,2,2
20.6,69,109,66,49,34,25,20,17,15,14,12,9,7,6,5,5,4,4,3,3,3,2,2,2,2,2,2,1
21.1,70,99,60,45,31,23,19,16,14,12,11,8,7,6,5,4,4,3,3,3,2,2,2,2,2,2,1,1
21.7,71,90,55,41,28,21,17,14,13,11,10,8,6,5,5,4,3,3,3,2,2,2,2,2,2,1,1,1
22.2,72,83,50,37,26,19,15,13,12,10,9,7,6,5,4,4,3,3,2,2,2,2,2,2,1,1,1,1
22.8,73,76,46,34,24,18,14,12,11,9,9,7,6,5,4,4,3,3,2,2,2,2,2,1,1,1,1,1
23.3,74,70,42,32,22,16,13,11,10,9,8,6,5,4,4,3,3,2,2,2,2,2,1,1,1,1,1,1
23.9,75,65,39,29,20,15,12,10,9,8,7,5,4,4,3,3,3,2,2,2,2,1,1,1,1,1,1,1
24.4,76,60,36,27,19,14,11,10,8,7,7,5,4,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1
25.0,77,56,34,25,17,13,10,9,8,7,6,5,4,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1
25.6,78,52,31,23,16,12,10,8,7,6,6,4,4,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1
26.1,79,48,29,22,15,11,9,8,7,6,5,4,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1
26.7,80,45,27,20,14,10,8,7,6,5,4,4,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1
